,A,B,C,D,E,F,G,H,I,J,K
1,-19,-9,-7,-4,-1,0,1,3,5,9,15
2,-32,-17,-11,-7,-3,0,1,5,10,15,25
3,-32,-22,-14,-8,-4,0,2,6,11,18,28
4,-30,-22,-16,-10,-5,0,2,7,13,18,25
5,-27,-22,-16,-11,-5,-1,3,8,13,18,24
6,-26,-22,-16,-11,-6,-1,2,8,13,18,23
7,-25,-21,-16,-11,-6,-1,3,8,14,18,22
8,-25,-21,-16,-11,-6,-1,3,8,13,18,22
9,-26,-21,-16,-11,-6,-1,3,8,13,19,23
10,-25,-21,-16,-10,-6,-1,3,8,13,19,25
11,-27,-22,-15,-9,-5,-1,3,8,13,19,26
12,-28,-20,-13,-9,-5,-1,2,7,12,17,28
13,-25,-17,-11,-7,-4,-1,1,5,9,13,25
14,-15,-10,-7,-5,-3,-1,1,4,5,7,12
