Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID20,20,0,0.339,0.021,0.023,0,10,2,0.005,1,-10921639,29.752,0,0,255,55845,81.885,0.003,0.965,0.357
ID49,49,0,0.344,0.022,0.023,0,15,3,0.005,1,-10921639,29.752,0,0,255,55845,81.885,0.002,0.947,0.353
ID78,78,0,0.34,0.022,0.024,0,20,4,0.005,1,-10921639,28.801,0,0,255,54060,80.736,0.002,0.967,0.351
ID123,123,0,0.34,0.023,0.024,0,25,5,0.005,1,-10921639,28.937,0,0,255,54315,80.902,0.002,0.974,0.353
ID92,92,0,0.335,0.024,0.024,0,30,6,0.005,1,-10921639,28.394,0,0,255,53295,80.235,0.003,0.977,0.35
ID107,107,0,0.338,0.025,0.025,0,35,7,0.005,1,-10921639,28.394,0,0,255,53295,80.235,0.002,0.987,0.351
ID153,153,0,0.338,0.026,0.025,0,40,8,0.005,1,-10921639,28.122,0,0,255,52785,79.898,0.002,0.993,0.351
ID137,137,0,0.332,0.027,0.026,0,45,9,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,1,0.349
ID168,168,0,0.33,0.028,0.026,0,50,10,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.002,1,0.348
ID183,183,0,0.329,0.029,0.027,0,55,11,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.002,1,0.347
ID199,199,0,0.33,0.03,0.027,0,60,12,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.002,1,0.347
ID229,229,0,0.325,0.031,0.027,0,65,13,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.002,1,0.342
ID214,214,0,0.319,0.032,0.028,0,70,14,0.005,1,-10921639,26.492,0,0,255,49725,77.826,0.002,1,0.34
ID244,244,0,0.327,0.033,0.028,0,75,15,0.005,1,-10921639,27.171,0,0,255,51000,78.7,0.003,1,0.345
ID262,262,0,0.318,0.035,0.029,0,80,16,0.005,1,-10921639,26.22,0,0,255,49215,77.471,0.003,1,0.338
ID277,277,0,0.323,0.036,0.029,0,85,17,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.002,1,0.339
ID309,309,0,0.325,0.038,0.03,0,90,18,0.005,1,-10921639,26.628,0,0,255,49980,78.002,0.003,1,0.341
ID293,293,0,0.321,0.039,0.03,0,95,19,0.005,1,-10921639,26.492,0,0,255,49725,77.826,0.003,1,0.34
ID325,325,0,0.324,0.041,0.031,0,100,20,0.005,1,-10921639,26.628,0,0,255,49980,78.002,0.002,1,0.341
ID339,339,0,0.319,0.042,0.031,0,105,21,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.003,1,0.337
ID353,353,0,0.319,0.044,0.032,0,110,22,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.002,1,0.336
ID367,367,0,0.312,0.046,0.033,0,115,23,0.005,1,-10921639,25.677,0,0,255,48195,76.755,0.003,1,0.335
ID382,382,0,0.316,0.048,0.033,0,120,24,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.002,1,0.336
ID397,397,0,0.322,0.05,0.034,0,125,25,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.003,1,0.339
ID411,411,0,0.313,0.052,0.034,0,130,26,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.002,1,0.334
ID426,426,0,0.32,0.055,0.035,0,135,27,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.003,1,0.337
ID440,440,0,0.318,0.057,0.035,0,140,28,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.003,1,0.337
ID455,455,0,0.308,0.06,0.036,0,145,29,0.005,1,-10921639,25.269,0,0,255,47430,76.211,0.003,1,0.332
ID469,469,0,0.302,0.063,0.036,0,150,30,0.005,1,-10921639,24.59,0,0,255,46155,75.291,0.003,1,0.327
ID484,484,0,0.3,0.066,0.037,0,155,31,0.005,1,-10921639,24.726,0,0,255,46410,75.477,0.003,1,0.328
ID499,499,0,0.297,0.069,0.037,0,160,32,0.005,1,-10921639,24.454,0,0,255,45900,75.105,0.003,1,0.326
ID514,514,0,0.302,0.073,0.037,0,165,33,0.005,1,-10921639,24.726,0,0,255,46410,75.477,0.003,1,0.328
ID528,528,0,0.314,0.076,0.037,0,170,34,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.003,1,0.337
ID544,544,0,0.324,0.077,0.037,0,175,35,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.003,1,0.342
