Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID16235,16235,19,0.467,0.064,0.021,0,0,0,0.005,1,-10921639,37.360,0,0,255,70125,90.196,0.003,1.000,0.414
ID15891,15891,19,0.479,0.063,0.021,0,5,1,0.005,1,-10921639,38.447,0,0,255,72165,91.270,0.003,0.990,0.419
ID16068,16068,19,0.419,0.062,0.022,0,10,2,0.005,1,-10921639,33.692,0,0,255,63240,86.373,0.003,0.994,0.389
ID15745,15745,19,0.417,0.061,0.023,0,15,3,0.005,1,-10921639,33.556,0,0,255,62985,86.225,0.003,0.991,0.387
ID16403,16403,19,0.417,0.060,0.023,0,20,4,0.005,1,-10921639,33.828,0,0,255,63495,86.520,0.003,0.997,0.390
ID16539,16539,19,0.437,0.059,0.023,0,25,5,0.005,1,-10921639,35.458,0,0,255,66555,88.254,0.003,0.992,0.400
ID16727,16727,19,0.423,0.058,0.024,0,30,6,0.005,1,-10921639,33.828,0,0,255,63495,86.520,0.003,1.000,0.391
ID16894,16894,19,0.426,0.057,0.024,0,35,7,0.005,1,-10921639,34.371,0,0,255,64515,87.105,0.003,0.997,0.394
ID17176,17176,19,0.414,0.056,0.025,0,40,8,0.005,1,-10921639,33.149,0,0,255,62220,85.779,0.003,1.000,0.386
ID17067,17067,19,0.429,0.055,0.025,0,45,9,0.005,1,-10921639,34.507,0,0,255,64770,87.250,0.003,1.000,0.395
ID17328,17328,19,0.427,0.054,0.026,0,50,10,0.005,1,-10921639,33.828,0,0,255,63495,86.520,0.003,1.000,0.391
ID17506,17506,19,0.431,0.053,0.026,0,55,11,0.005,1,-10921639,34.507,0,0,255,64770,87.250,0.003,1.000,0.395
ID18025,18025,19,0.422,0.051,0.026,0,60,12,0.005,1,-10921639,33.692,0,0,255,63240,86.373,0.003,1.000,0.390
ID17854,17854,19,0.426,0.050,0.027,0,65,13,0.005,1,-10921639,34.235,0,0,255,64260,86.960,0.003,1.000,0.394
ID17681,17681,19,0.424,0.049,0.027,0,70,14,0.005,1,-10921639,33.828,0,0,255,63495,86.520,0.003,1.000,0.391
ID18225,18225,19,0.439,0.047,0.028,0,75,15,0.005,1,-10921639,34.915,0,0,255,65535,87.683,0.003,1.000,0.398
ID18397,18397,19,0.443,0.046,0.028,0,80,16,0.005,1,-10921639,35.594,0,0,255,66810,88.395,0.003,1.000,0.403
ID18587,18587,19,0.462,0.044,0.029,0,85,17,0.005,1,-10921639,37.224,0,0,255,69870,90.060,0.003,1.000,0.413
ID18684,18684,19,0.457,0.042,0.029,0,90,18,0.005,1,-10921639,36.953,0,0,255,69360,89.787,0.003,1.000,0.412
ID18868,18868,19,0.458,0.041,0.030,0,95,19,0.005,1,-10921639,36.681,0,0,255,68850,89.512,0.003,1.000,0.410
ID19027,19027,19,0.453,0.039,0.030,0,100,20,0.005,1,-10921639,36.409,0,0,255,68340,89.235,0.003,1.000,0.408
ID19231,19231,19,0.459,0.037,0.031,0,105,21,0.005,1,-10921639,36.953,0,0,255,69360,89.787,0.003,1.000,0.412
ID19398,19398,19,0.459,0.035,0.031,0,110,22,0.005,1,-10921639,36.953,0,0,255,69360,89.787,0.003,1.000,0.412
ID19590,19590,19,0.459,0.033,0.032,0,115,23,0.005,1,-10921639,36.953,0,0,255,69360,89.787,0.003,1.000,0.412
ID19757,19757,19,0.455,0.030,0.032,0,120,24,0.005,1,-10921639,37.088,0,0,255,69615,89.924,0.003,1.000,0.412
ID19870,19870,19,0.448,0.028,0.033,0,125,25,0.005,1,-10921639,36.273,0,0,255,68085,89.096,0.003,1.000,0.407
ID20068,20068,19,0.439,0.025,0.033,0,130,26,0.005,1,-10921639,35.458,0,0,255,66555,88.254,0.003,1.000,0.402
ID20213,20213,19,0.427,0.022,0.034,0,135,27,0.005,1,-10921639,34.371,0,0,255,64515,87.105,0.003,1.000,0.395
ID20366,20366,19,0.421,0.019,0.034,0,140,28,0.005,1,-10921639,33.556,0,0,255,62985,86.225,0.003,1.000,0.389
ID20553,20553,19,0.441,0.016,0.035,0,145,29,0.005,1,-10921639,34.779,0,0,255,65280,87.539,0.003,1.000,0.397
ID20707,20707,19,0.418,0.014,0.035,0,150,30,0.005,1,-10921639,33.013,0,0,255,61965,85.629,0.003,1.000,0.386
ID20932,20932,19,0.408,0.011,0.035,0,155,31,0.005,1,-10921639,33.013,0,0,255,61965,85.629,0.003,1.000,0.386
ID20828,20828,19,0.371,0.008,0.036,0,160,32,0.005,1,-10921639,32.469,0,0,255,60945,85.025,0.018,0.615,0.291
ID21059,21059,19,0.413,0.007,0.036,0,165,33,0.005,1,-10921639,36.817,0,0,255,69105,89.650,0.003,0.594,0.306
