,A,B,C,D,E,F,G,H,I,J,K
1,3,4,5,6,7,9,11,13,17,21,31
2,4,5,6,8,10,13,16,19,26,38,59
3,5,6,7,9,12,15,18,25,32,43,59
4,5,7,8,11,13,18,22,28,37,46,62
5,6,7,9,12,15,19,24,30,37,46,58
6,6,8,10,12,16,20,25,32,39,47,56
7,6,8,10,13,17,21,26,32,40,48,56
8,6,8,10,13,16,21,26,32,41,49,56
9,6,8,10,12,16,20,25,32,41,49,57
10,6,8,9,12,15,20,24,31,38,48,59
11,6,7,8,11,14,18,22,29,36,50,62
12,5,6,8,9,12,15,20,25,33,47,67
13,5,5,6,7,10,12,16,20,29,40,66
14,4,5,5,6,8,9,12,14,17,22,37
