Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1193,1193,3,0.441,0.023,0.025,0,0,0,0.005,1,-10921639,36.137,0,0,255,67830,88.957,0.003,1,0.406
ID1202,1202,3,0.426,0.023,0.025,0,5,1,0.005,1,-10921639,34.643,0,0,255,65025,87.395,0.003,1,0.396
ID1174,1174,3,0.339,0.024,0.025,0,10,2,0.005,1,-10921639,28.122,0,0,255,52785,79.898,0.002,1,0.352
ID1183,1183,3,0.338,0.025,0.025,0,15,3,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.002,1,0.351
ID1211,1211,3,0.329,0.026,0.026,0,20,4,0.005,1,-10921639,27.171,0,0,255,51000,78.700,0.003,1,0.345
ID1220,1220,3,0.319,0.027,0.026,0,25,5,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.002,1,0.337
ID1239,1239,3,0.320,0.028,0.026,0,30,6,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.002,1,0.337
ID1229,1229,3,0.336,0.029,0.027,0,35,7,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.002,1,0.351
ID1278,1278,3,0.308,0.031,0.027,0,40,8,0.005,1,-10921639,25.133,0,0,255,47175,76.029,0.002,1,0.331
ID1248,1248,3,0.323,0.032,0.028,0,45,9,0.005,1,-10921639,26.628,0,0,255,49980,78.002,0.002,1,0.341
ID1269,1269,3,0.326,0.033,0.028,0,50,10,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.003,1,0.343
ID1258,1258,3,0.338,0.035,0.029,0,55,11,0.005,1,-10921639,28.122,0,0,255,52785,79.898,0.003,1,0.352
ID1287,1287,3,0.324,0.036,0.029,0,60,12,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.003,1,0.342
ID1297,1297,3,0.313,0.038,0.030,0,65,13,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.002,1,0.334
ID1307,1307,3,0.463,0.037,0.030,0,70,14,0.005,1,-10921639,36.953,0,0,255,69360,89.787,0.003,1,0.412
ID1316,1316,3,0.453,0.036,0.030,0,75,15,0.005,1,-10921639,36.002,0,0,255,67575,88.817,0.003,1,0.405
ID1326,1326,3,0.466,0.034,0.031,0,80,16,0.005,1,-10921639,37.360,0,0,255,70125,90.196,0.003,1,0.414
ID1336,1336,3,0.465,0.032,0.031,0,85,17,0.005,1,-10921639,37.088,0,0,255,69615,89.924,0.003,1,0.412
ID1345,1345,3,0.474,0.030,0.032,0,90,18,0.005,1,-10921639,38.311,0,0,255,71910,91.137,0.003,1,0.420
ID1356,1356,3,0.476,0.028,0.032,0,95,19,0.005,1,-10921639,38.447,0,0,255,72165,91.270,0.003,1,0.421
ID1366,1366,3,0.442,0.026,0.033,0,100,20,0.005,1,-10921639,35.186,0,0,255,66045,87.969,0.003,1,0.400
ID1375,1375,3,0.456,0.023,0.033,0,105,21,0.005,1,-10921639,36.681,0,0,255,68850,89.512,0.003,1,0.410
ID1384,1384,3,0.456,0.021,0.034,0,110,22,0.005,1,-10921639,36.137,0,0,255,67830,88.957,0.003,1,0.406
ID1394,1394,3,0.322,0.022,0.034,0,115,23,0.005,1,-10921639,26.220,0,0,255,49215,77.471,0.002,1,0.338
ID1403,1403,3,0.323,0.023,0.035,0,120,24,0.005,1,-10921639,26.220,0,0,255,49215,77.471,0.003,1,0.338
ID1421,1421,3,0.325,0.024,0.035,0,125,25,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.003,1,0.339
ID1412,1412,3,0.316,0.026,0.035,0,130,26,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.003,1,0.334
ID1430,1430,3,0.322,0.027,0.035,0,135,27,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.003,1,0.336
ID1440,1440,3,0.330,0.028,0.036,0,140,28,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.003,1,0.344
ID1459,1459,3,0.320,0.029,0.036,0,145,29,0.005,1,-10921639,25.812,0,0,255,48450,76.935,0.002,1,0.336
ID1449,1449,3,0.329,0.030,0.036,0,150,30,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.002,1,0.343
ID1477,1477,3,0.327,0.032,0.037,0,155,31,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.002,1,0.342
ID1468,1468,3,0.308,0.034,0.037,0,160,32,0.005,1,-10921639,24.726,0,0,255,46410,75.477,0.003,1,0.328
ID1487,1487,3,0.316,0.035,0.038,0,165,33,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.003,0.996,0.332
ID1496,1496,3,0.314,0.037,0.038,0,170,34,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.003,0.985,0.331
ID1505,1505,3,0.312,0.039,0.038,0,175,35,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.002,0.978,0.329
ID1514,1514,3,0.304,0.041,0.039,0,180,36,0.005,1,-10921639,24.454,0,0,255,45900,75.105,0.002,0.981,0.322
ID1524,1524,3,0.327,0.042,0.039,0,185,37,0.005,1,-10921639,28.394,0,0,255,53295,80.235,0.002,0.935,0.342
ID1534,1534,3,0.307,0.045,0.040,0,190,38,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.003,0.941,0.323
ID1543,1543,3,0.328,0.047,0.040,0,195,39,0.005,1,-10921639,27.850,0,0,255,52275,79.559,0.003,0.921,0.336
ID1553,1553,3,0.310,0.049,0.040,0,200,40,0.005,1,-10921639,25.269,0,0,255,47430,76.211,0.003,0.970,0.327
ID1562,1562,3,0.321,0.051,0.041,0,205,41,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.003,0.974,0.332
