Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID2356,2356,8,0.481,0.064,0.021,0,0,0,0.005,1,-10921639,37.632,0,0,255,70635,90.467,0.003,0.992,0.414
ID2376,2376,8,0.495,0.064,0.021,0,5,1,0.005,1,-10921639,38.719,0,0,255,72675,91.535,0.004,0.995,0.422
ID2413,2413,8,0.437,0.063,0.022,0,10,2,0.005,1,-10921639,34.371,0,0,255,64515,87.105,0.004,1.000,0.395
ID2395,2395,8,0.428,0.062,0.023,0,15,3,0.005,1,-10921639,33.964,0,0,255,63750,86.667,0.004,0.983,0.389
ID2431,2431,8,0.431,0.061,0.023,0,20,4,0.005,1,-10921639,33.692,0,0,255,63240,86.373,0.003,0.997,0.390
ID2468,2468,8,0.446,0.060,0.024,0,25,5,0.005,1,-10921639,35.051,0,0,255,65790,87.826,0.003,1.000,0.399
ID2450,2450,8,0.433,0.059,0.024,0,30,6,0.005,1,-10921639,34.100,0,0,255,64005,86.814,0.003,0.997,0.392
ID2486,2486,8,0.435,0.058,0.024,0,35,7,0.005,1,-10921639,34.100,0,0,255,64005,86.814,0.003,1.000,0.393
ID2504,2504,8,0.424,0.057,0.025,0,40,8,0.005,1,-10921639,33.149,0,0,255,62220,85.779,0.003,0.997,0.386
ID2523,2523,8,0.444,0.055,0.025,0,45,9,0.005,1,-10921639,34.915,0,0,255,65535,87.683,0.004,1.000,0.398
ID2542,2542,8,0.442,0.054,0.026,0,50,10,0.005,1,-10921639,34.779,0,0,255,65280,87.539,0.003,1.000,0.397
ID2560,2560,8,0.438,0.053,0.026,0,55,11,0.005,1,-10921639,34.507,0,0,255,64770,87.250,0.004,1.000,0.395
ID2578,2578,8,0.435,0.052,0.027,0,60,12,0.005,1,-10921639,33.964,0,0,255,63750,86.667,0.003,1.000,0.392
ID2596,2596,8,0.439,0.050,0.027,0,65,13,0.005,1,-10921639,34.643,0,0,255,65025,87.395,0.004,1.000,0.396
ID2615,2615,8,0.438,0.049,0.028,0,70,14,0.005,1,-10921639,34.100,0,0,255,64005,86.814,0.003,1.000,0.393
ID2634,2634,8,0.444,0.047,0.028,0,75,15,0.005,1,-10921639,34.779,0,0,255,65280,87.539,0.003,1.000,0.397
ID2654,2654,8,0.453,0.046,0.029,0,80,16,0.005,1,-10921639,35.458,0,0,255,66555,88.254,0.003,1.000,0.402
ID2673,2673,8,0.466,0.044,0.029,0,85,17,0.005,1,-10921639,36.681,0,0,255,68850,89.512,0.003,1.000,0.410
ID2693,2693,8,0.465,0.042,0.030,0,90,18,0.005,1,-10921639,36.681,0,0,255,68850,89.512,0.004,1.000,0.410
ID2711,2711,8,0.466,0.041,0.030,0,95,19,0.005,1,-10921639,36.817,0,0,255,69105,89.650,0.003,1.000,0.411
ID2729,2729,8,0.484,0.039,0.031,0,100,20,0.005,1,-10921639,38.311,0,0,255,71910,91.137,0.003,1.000,0.420
ID2747,2747,8,0.486,0.037,0.031,0,105,21,0.005,1,-10921639,38.447,0,0,255,72165,91.270,0.003,1.000,0.421
ID2783,2783,8,0.476,0.035,0.032,0,110,22,0.005,1,-10921639,37.904,0,0,255,71145,90.737,0.003,1.000,0.418
ID2765,2765,8,0.472,0.032,0.032,0,115,23,0.005,1,-10921639,37.768,0,0,255,70890,90.602,0.003,1.000,0.417
ID2801,2801,8,0.460,0.030,0.033,0,120,24,0.005,1,-10921639,36.817,0,0,255,69105,89.650,0.003,1.000,0.411
ID2819,2819,8,0.453,0.027,0.033,0,125,25,0.005,1,-10921639,36.137,0,0,255,67830,88.957,0.004,1.000,0.406
ID2838,2838,8,0.451,0.025,0.034,0,130,26,0.005,1,-10921639,36.002,0,0,255,67575,88.817,0.004,0.997,0.405
ID2856,2856,8,0.438,0.022,0.034,0,135,27,0.005,1,-10921639,34.235,0,0,255,64260,86.960,0.004,0.997,0.393
ID2893,2893,8,0.457,0.019,0.035,0,140,28,0.005,1,-10921639,35.866,0,0,255,67320,88.677,0.004,0.995,0.403
ID2874,2874,8,0.454,0.016,0.035,0,145,29,0.005,1,-10921639,35.051,0,0,255,65790,87.826,0.003,1.000,0.399
ID2912,2912,8,0.432,0.013,0.036,0,150,30,0.005,1,-10921639,33.692,0,0,255,63240,86.373,0.003,0.986,0.387
ID2953,2953,8,0.427,0.010,0.036,0,155,31,0.005,1,-10921639,33.556,0,0,255,62985,86.225,0.004,0.936,0.376
ID2972,2972,8,0.426,0.008,0.036,0,160,32,0.005,1,-10921639,35.594,0,0,255,66810,88.395,0.003,0.704,0.333
ID2933,2933,8,0.457,0.007,0.036,0,165,33,0.005,1,-10921639,38.855,0,0,255,72930,91.666,0.004,0.697,0.348
