,A,B,C,D,E,F,G,H,I,J,K
1,19,14,11,10,9,10,10,10,12,15,24
2,33,24,18,15,13,13,13,14,17,23,33
3,37,27,22,18,16,15,16,17,20,26,33
4,36,29,24,20,19,18,18,20,23,27,33
5,34,29,25,22,20,19,20,21,24,28,32
6,32,28,25,23,21,20,21,22,25,28,31
7,31,28,25,23,21,21,21,22,25,28,31
8,31,28,25,23,21,20,21,22,25,28,32
9,31,28,25,22,20,20,20,22,24,28,32
10,32,27,23,21,19,18,19,21,24,28,33
11,32,28,22,19,16,16,17,19,23,27,33
12,32,25,19,16,14,13,14,16,20,27,33
13,28,20,15,12,10,9,9,12,15,22,27
14,18,14,10,7,7,4,5,9,11,11,9
