,A,B,C,D,E,F,G,H,I,J,K
1,-15,-9,-5,-4,-1,2,2,4,6,9,13
2,-31,-17,-9,-6,-3,1,3,6,11,17,24
3,-33,-20,-13,-8,-4,0,4,7,12,19,26
4,-30,-22,-13,-9,-4,1,4,9,13,19,26
5,-28,-21,-14,-9,-5,1,4,8,14,20,24
6,-26,-21,-15,-10,-5,1,4,9,14,19,25
7,-24,-20,-14,-10,-5,0,5,9,14,19,24
8,-25,-19,-14,-10,-4,0,5,10,14,19,24
9,-24,-19,-15,-9,-5,0,5,9,14,18,25
10,-25,-19,-15,-8,-4,0,4,8,12,20,25
11,-25,-19,-14,-8,-3,0,4,8,13,20,27
12,-25,-18,-12,-6,-3,-1,3,7,12,18,29
13,-21,-13,-10,-4,-2,-1,2,6,9,14,27
14,-13,-9,-6,-3,-3,0,2,4,6,7,14
