,A,B,C,D,E,F,G,H,I,J,K
1,16,11,10,9,9,9,9,10,11,15,24
2,33,21,17,14,12,12,13,13,17,21,33
3,35,27,21,17,15,15,15,17,20,26,34
4,34,28,23,19,17,17,17,19,22,27,33
5,32,28,24,21,19,19,19,21,23,27,31
6,31,28,25,22,20,20,20,22,24,27,31
7,30,28,25,22,20,20,20,22,25,27,30
8,30,27,25,22,20,20,20,22,24,27,30
9,31,27,24,21,20,19,20,21,24,27,30
10,31,27,23,20,18,18,18,20,23,27,32
11,32,27,22,18,16,15,16,18,21,25,33
12,33,25,19,15,14,13,13,15,19,25,34
13,30,19,15,12,10,9,9,11,14,18,32
14,20,14,12,8,6,4,4,7,9,10,16
