Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID3839,3839,42,0.312,0.021,0.023,0,0,0,0.005,1,-10921639,25.677,0,0,255,48195,76.755,0.004,0.974,0.33
ID3724,3724,42,0.317,0.021,0.023,0,5,1,0.005,1,-10921639,25.677,0,0,255,48195,76.755,0.004,0.989,0.333
ID3935,3935,42,0.31,0.021,0.022,0,10,2,0.005,1,-10921639,24.861,0,0,255,46665,75.661,0.002,0.977,0.325
ID4055,4055,42,0.324,0.021,0.024,0,15,3,0.005,1,-10921639,27.171,0,0,255,51000,78.7,0.002,0.952,0.337
ID4139,4139,42,0.323,0.022,0.024,0,20,4,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.002,0.982,0.341
ID4333,4333,42,0.334,0.023,0.024,0,25,5,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,0.973,0.344
ID4224,4224,42,0.332,0.023,0.025,0,30,6,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.004,0.972,0.342
ID4419,4419,42,0.333,0.024,0.025,0,35,7,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.002,0.986,0.346
ID4576,4576,42,0.329,0.025,0.025,0,40,8,0.005,1,-10921639,27.171,0,0,255,51000,78.7,0.004,0.989,0.343
ID4502,4502,42,0.324,0.026,0.026,0,45,9,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.004,1,0.343
ID4653,4653,42,0.333,0.027,0.026,0,50,10,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.002,1,0.347
ID4719,4719,42,0.324,0.028,0.027,0,55,11,0.005,1,-10921639,26.628,0,0,255,49980,78.002,0.002,1,0.341
ID4800,4800,42,0.327,0.028,0.027,0,60,12,0.005,1,-10921639,26.628,0,0,255,49980,78.002,0.002,1,0.341
ID4867,4867,42,0.314,0.029,0.027,0,65,13,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.002,1,0.334
ID4962,4962,42,0.323,0.03,0.028,0,70,14,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.002,1,0.339
ID5059,5059,42,0.324,0.031,0.028,0,75,15,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.002,1,0.339
ID5162,5162,42,0.31,0.032,0.029,0,80,16,0.005,1,-10921639,25.269,0,0,255,47430,76.211,0.004,1,0.332
ID5236,5236,42,0.315,0.034,0.029,0,85,17,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.002,1,0.334
ID5315,5315,42,0.317,0.035,0.029,0,90,18,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.002,1,0.336
ID5402,5402,42,0.308,0.036,0.03,0,95,19,0.005,1,-10921639,24.997,0,0,255,46920,75.845,0.002,1,0.33
ID5578,5578,42,0.309,0.037,0.03,0,100,20,0.005,1,-10921639,24.861,0,0,255,46665,75.661,0.004,1,0.329
ID5490,5490,42,0.316,0.039,0.031,0,105,21,0.005,1,-10921639,25.677,0,0,255,48195,76.755,0.005,1,0.335
ID5648,5648,42,0.302,0.04,0.031,0,110,22,0.005,1,-10921639,24.318,0,0,255,45645,74.918,0.004,1,0.325
ID5734,5734,42,0.308,0.041,0.032,0,115,23,0.005,1,-10921639,24.997,0,0,255,46920,75.845,0.004,1,0.33
ID5803,5803,42,0.308,0.043,0.032,0,120,24,0.005,1,-10921639,24.726,0,0,255,46410,75.477,0.002,1,0.328
ID5945,5945,42,0.305,0.044,0.033,0,125,25,0.005,1,-10921639,24.59,0,0,255,46155,75.291,0.002,1,0.327
ID6047,6047,42,0.312,0.046,0.033,0,130,26,0.005,1,-10921639,25.133,0,0,255,47175,76.029,0.004,1,0.331
ID5876,5876,42,0.302,0.048,0.034,0,135,27,0.005,1,-10921639,24.59,0,0,255,46155,75.291,0.004,1,0.327
ID6123,6123,42,0.307,0.05,0.034,0,140,28,0.005,1,-10921639,24.861,0,0,255,46665,75.661,0.004,1,0.329
ID6259,6259,42,0.309,0.052,0.035,0,145,29,0.005,1,-10921639,24.861,0,0,255,46665,75.661,0.004,1,0.329
ID6208,6208,42,0.301,0.054,0.035,0,150,30,0.005,1,-10921639,24.046,0,0,255,45135,74.542,0.004,1,0.323
ID6317,6317,42,0.311,0.056,0.036,0,155,31,0.005,1,-10921639,25.269,0,0,255,47430,76.211,0.004,1,0.332
ID6411,6411,42,0.302,0.059,0.036,0,160,32,0.005,1,-10921639,24.454,0,0,255,45900,75.105,0.004,1,0.326
ID6494,6494,42,0.295,0.061,0.037,0,165,33,0.005,1,-10921639,23.91,0,0,255,44880,74.353,0.004,1,0.322
