Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID95,95,17,0.326,0.023,0.022,0,0,0,0.005,1,-10921639,26.492,0,0,255,49725,77.826,0.002,0.971,0.335
ID28,28,17,0.324,0.023,0.022,0,5,1,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.004,0.961,0.333
ID49,49,17,0.343,0.023,0.023,0,10,2,0.005,1,-10921639,28.801,0,0,255,54060,80.736,0.004,0.951,0.348
ID72,72,17,0.348,0.024,0.024,0,15,3,0.005,1,-10921639,29.345,0,0,255,55080,81.396,0.002,0.940,0.349
ID116,116,17,0.347,0.025,0.024,0,20,4,0.005,1,-10921639,29.209,0,0,255,54825,81.232,0.002,0.961,0.352
ID138,138,17,0.349,0.026,0.024,0,25,5,0.005,1,-10921639,29.345,0,0,255,55080,81.396,0.004,0.993,0.359
ID182,182,17,0.344,0.027,0.025,0,30,6,0.005,1,-10921639,28.801,0,0,255,54060,80.736,0.002,0.993,0.356
ID160,160,17,0.342,0.028,0.025,0,35,7,0.005,1,-10921639,28.665,0,0,255,53805,80.569,0.004,0.997,0.355
ID204,204,17,0.337,0.029,0.026,0,40,8,0.005,1,-10921639,27.850,0,0,255,52275,79.559,0.002,1.000,0.350
ID223,223,17,0.340,0.030,0.026,0,45,9,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.004,1.000,0.351
ID244,244,17,0.339,0.031,0.027,0,50,10,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.002,1.000,0.351
ID266,266,17,0.338,0.032,0.027,0,55,11,0.005,1,-10921639,27.850,0,0,255,52275,79.559,0.004,1.000,0.350
ID286,286,17,0.336,0.033,0.028,0,60,12,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.004,1.000,0.348
ID307,307,17,0.336,0.034,0.028,0,65,13,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.002,1.000,0.347
ID328,328,17,0.335,0.036,0.029,0,70,14,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.002,1.000,0.347
ID349,349,17,0.338,0.037,0.029,0,75,15,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.002,1.000,0.349
ID368,368,17,0.331,0.038,0.030,0,80,16,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.002,1.000,0.344
ID412,412,17,0.330,0.040,0.030,0,85,17,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.002,1.000,0.344
ID390,390,17,0.324,0.042,0.031,0,90,18,0.005,1,-10921639,26.220,0,0,255,49215,77.471,0.002,1.000,0.338
ID434,434,17,0.322,0.043,0.031,0,95,19,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.004,1.000,0.339
ID455,455,17,0.327,0.045,0.032,0,100,20,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.004,1.000,0.343
ID478,478,17,0.332,0.047,0.032,0,105,21,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.004,1.000,0.344
ID499,499,17,0.326,0.049,0.033,0,110,22,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.004,1.000,0.342
ID522,522,17,0.335,0.051,0.033,0,115,23,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.004,1.000,0.344
ID544,544,17,0.325,0.054,0.034,0,120,24,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.004,1.000,0.339
ID565,565,17,0.333,0.056,0.034,0,125,25,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.004,1.000,0.343
ID586,586,17,0.316,0.059,0.035,0,130,26,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.004,1.000,0.334
ID606,606,17,0.319,0.061,0.035,0,135,27,0.005,1,-10921639,25.812,0,0,255,48450,76.935,0.004,1.000,0.336
ID627,627,17,0.317,0.064,0.036,0,140,28,0.005,1,-10921639,25.812,0,0,255,48450,76.935,0.005,1.000,0.336
ID648,648,17,0.295,0.067,0.036,0,145,29,0.005,1,-10921639,23.910,0,0,255,44880,74.353,0.004,1.000,0.322
ID669,669,17,0.307,0.071,0.037,0,150,30,0.005,1,-10921639,24.861,0,0,255,46665,75.661,0.004,1.000,0.329
ID689,689,17,0.322,0.074,0.037,0,155,31,0.005,1,-10921639,26.356,0,0,255,49470,77.649,0.004,1.000,0.339
ID708,708,17,0.318,0.077,0.037,0,160,32,0.005,1,-10921639,26.492,0,0,255,49725,77.826,0.004,0.934,0.329
ID729,729,17,0.328,0.077,0.037,0,165,33,0.005,1,-10921639,27.307,0,0,255,51255,78.873,0.004,0.926,0.333
