index,origin,x,(m),origin,y,(m)
1,0.043,0.064,,,,
2,0.043,0.063,,,,
3,0.042,0.063,,,,
4,0.043,0.064,,,,
5,0.042,0.063,,,,
6,0.043,0.063,,,,
7,0.043,0.063,,,,
8,0.043,0.062,,,,
9,0.042,0.063,,,,
