,A,B,C,D,E,F,G,H,I,J,K
1,4,5,6,7,8,10,11,15,16,21,33
2,5,6,7,9,10,13,16,20,24,37,54
3,5,6,8,10,12,15,19,24,31,45,61
4,6,7,9,11,14,17,23,28,37,45,57
5,6,7,10,12,15,19,25,31,37,47,56
6,6,8,10,12,16,20,26,31,40,47,56
7,6,8,10,13,16,21,26,32,41,47,56
8,7,8,10,13,16,21,26,32,40,47,56
9,7,8,10,12,16,20,25,32,40,48,57
10,6,8,9,11,15,19,24,31,39,48,61
11,6,7,8,10,13,17,21,28,40,49,64
12,5,6,7,8,11,15,19,24,31,46,70
13,5,5,6,7,7,11,16,22,26,37,69
14,5,5,4,4,5,6,11,16,20,26,45
