Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID16787,16787,8,0.654,0.022,0.029,0,0,0,0.005,1,-10921639,48.852,0,0,255,84660,100.382,0.004,1,0.487
ID16807,16807,8,0.658,0.022,0.029,0,5,1,0.005,1,-10921639,48.999,0,0,255,84915,100.497,0.004,1,0.488
ID16744,16744,8,0.457,0.023,0.030,0,10,2,0.005,1,-10921639,33.696,0,0,255,58395,86.379,0.003,1,0.390
ID16839,16839,8,0.419,0.024,0.030,0,15,3,0.005,1,-10921639,30.312,0,0,255,52530,82.551,0.002,1,0.367
ID16855,16855,8,0.416,0.025,0.031,0,20,4,0.005,1,-10921639,30.164,0,0,255,52275,82.377,0.002,1,0.366
ID16911,16911,8,0.419,0.026,0.031,0,25,5,0.005,1,-10921639,30.606,0,0,255,53040,82.896,0.002,1,0.369
ID16872,16872,8,0.418,0.026,0.031,0,30,6,0.005,1,-10921639,30.017,0,0,255,52020,82.203,0.002,1,0.365
ID16895,16895,8,0.416,0.027,0.032,0,35,7,0.005,1,-10921639,30.017,0,0,255,52020,82.203,0.002,1,0.365
ID16930,16930,8,0.419,0.028,0.032,0,40,8,0.005,1,-10921639,30.459,0,0,255,52785,82.724,0.002,1,0.368
ID16948,16948,8,0.406,0.029,0.032,0,45,9,0.005,1,-10921639,29.134,0,0,255,50490,81.144,0.002,1,0.359
ID16966,16966,8,0.402,0.030,0.033,0,50,10,0.005,1,-10921639,28.840,0,0,255,49980,80.785,0.002,1,0.357
ID16981,16981,8,0.410,0.031,0.033,0,55,11,0.005,1,-10921639,29.429,0,0,255,51000,81.499,0.002,1,0.361
ID16996,16996,8,0.403,0.031,0.033,0,60,12,0.005,1,-10921639,28.840,0,0,255,49980,80.785,0.002,1,0.357
ID17049,17049,8,0.405,0.032,0.034,0,65,13,0.005,1,-10921639,28.987,0,0,255,50235,80.965,0.002,1,0.358
ID17011,17011,8,0.405,0.033,0.034,0,70,14,0.005,1,-10921639,29.134,0,0,255,50490,81.144,0.002,1,0.359
ID17028,17028,8,0.392,0.034,0.035,0,75,15,0.005,1,-10921639,27.810,0,0,255,48195,79.510,0.002,1,0.350
ID17079,17079,8,0.387,0.036,0.035,0,80,16,0.005,1,-10921639,27.369,0,0,255,47430,78.953,0.002,1,0.347
ID17095,17095,8,0.385,0.037,0.035,0,85,17,0.005,1,-10921639,27.222,0,0,255,47175,78.766,0.002,1,0.346
ID17111,17111,8,0.381,0.038,0.036,0,90,18,0.005,1,-10921639,26.927,0,0,255,46665,78.390,0.002,1,0.344
ID17132,17132,8,0.386,0.039,0.036,0,95,19,0.005,1,-10921639,27.369,0,0,255,47430,78.953,0.002,1,0.347
ID17158,17158,8,0.389,0.040,0.037,0,100,20,0.005,1,-10921639,27.810,0,0,255,48195,79.510,0.002,1,0.350
ID17173,17173,8,0.380,0.041,0.037,0,105,21,0.005,1,-10921639,26.927,0,0,255,46665,78.390,0.002,1,0.344
ID17190,17190,8,0.385,0.042,0.037,0,110,22,0.005,1,-10921639,27.222,0,0,255,47175,78.766,0.002,1,0.346
ID17222,17222,8,0.370,0.044,0.038,0,115,23,0.005,1,-10921639,26.044,0,0,255,45135,77.243,0.002,1,0.337
ID17240,17240,8,0.371,0.045,0.038,0,120,24,0.005,1,-10921639,26.192,0,0,255,45390,77.436,0.002,1,0.338
ID17273,17273,8,0.370,0.047,0.039,0,125,25,0.005,1,-10921639,25.897,0,0,255,44880,77.049,0.002,1,0.336
