Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID15,15,9,0.471,0.023,0.025,0,0,0,0.005,1,-10921639,38.447,0,0,255,72165,91.27,0.003,1,0.421
ID45,45,9,0.474,0.023,0.025,0,5,1,0.005,1,-10921639,38.583,0,0,255,72420,91.403,0.004,1,0.422
ID34,34,9,0.339,0.024,0.025,0,10,2,0.005,1,-10921639,27.85,0,0,255,52275,79.559,0.002,1,0.35
ID25,25,9,0.296,0.025,0.026,0,15,3,0.005,1,-10921639,23.367,0,0,255,43860,73.59,0.002,1,0.318
ID88,88,9,0.327,0.026,0.026,0,20,4,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.002,1,0.343
ID56,56,9,0.318,0.027,0.027,0,25,5,0.005,1,-10921639,25.677,0,0,255,48195,76.755,0.002,1,0.335
ID66,66,9,0.331,0.029,0.027,0,30,6,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.002,1,0.342
ID77,77,9,0.345,0.029,0.027,0,35,7,0.005,1,-10921639,28.53,0,0,255,53550,80.402,0.002,1,0.355
ID117,117,9,0.314,0.031,0.028,0,40,8,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.002,1,0.333
ID98,98,9,0.322,0.032,0.028,0,45,9,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.002,1,0.337
ID126,126,9,0.322,0.033,0.029,0,50,10,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.002,1,0.336
ID107,107,9,0.291,0.035,0.029,0,55,11,0.005,1,-10921639,23.095,0,0,255,43350,73.204,0.002,1,0.315
ID156,156,9,0.315,0.036,0.03,0,60,12,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.002,1,0.333
ID136,136,9,0.331,0.038,0.03,0,65,13,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.002,1,0.344
ID146,146,9,0.359,0.039,0.031,0,70,14,0.005,1,-10921639,27.85,0,0,255,52275,79.559,0.002,1,0.35
ID165,165,9,0.443,0.037,0.031,0,75,15,0.005,1,-10921639,34.643,0,0,255,65025,87.395,0.003,1,0.396
ID175,175,9,0.476,0.035,0.031,0,80,16,0.005,1,-10921639,37.904,0,0,255,71145,90.737,0.003,1,0.418
ID185,185,9,0.482,0.033,0.032,0,85,17,0.005,1,-10921639,38.311,0,0,255,71910,91.137,0.003,1,0.42
ID195,195,9,0.489,0.031,0.032,0,90,18,0.005,1,-10921639,38.99,0,0,255,73185,91.798,0.003,1,0.425
ID206,206,9,0.493,0.029,0.033,0,95,19,0.005,1,-10921639,39.534,0,0,255,74205,92.319,0.004,1,0.428
ID225,225,9,0.446,0.027,0.033,0,100,20,0.005,1,-10921639,35.186,0,0,255,66045,87.969,0.004,1,0.4
ID216,216,9,0.45,0.025,0.034,0,105,21,0.005,1,-10921639,35.594,0,0,255,66810,88.395,0.003,1,0.403
ID234,234,9,0.401,0.022,0.034,0,110,22,0.005,1,-10921639,31.247,0,0,255,58650,83.638,0.004,1,0.374
ID253,253,9,0.309,0.023,0.035,0,115,23,0.005,1,-10921639,24.726,0,0,255,46410,75.477,0.002,1,0.328
ID244,244,9,0.324,0.024,0.035,0,120,24,0.005,1,-10921639,25.812,0,0,255,48450,76.935,0.002,1,0.336
ID262,262,9,0.308,0.025,0.036,0,125,25,0.005,1,-10921639,24.182,0,0,255,45390,74.731,0.002,1,0.324
ID271,271,9,0.3,0.026,0.036,0,130,26,0.005,1,-10921639,23.639,0,0,255,44370,73.973,0.002,1,0.32
ID280,280,9,0.318,0.027,0.036,0,135,27,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.002,1,0.333
ID289,289,9,0.293,0.029,0.037,0,140,28,0.005,1,-10921639,22.824,0,0,255,42840,72.814,0.002,1,0.313
ID298,298,9,0.291,0.03,0.037,0,145,29,0.005,1,-10921639,22.688,0,0,255,42585,72.619,0.002,1,0.312
ID317,317,9,0.332,0.031,0.037,0,150,30,0.005,1,-10921639,26.763,0,0,255,50235,78.177,0.002,1,0.342
ID307,307,9,0.303,0.033,0.038,0,155,31,0.005,1,-10921639,24.046,0,0,255,45135,74.542,0.002,1,0.323
ID326,326,9,0.294,0.034,0.038,0,160,32,0.005,1,-10921639,22.824,0,0,255,42840,72.814,0.002,1,0.313
ID334,334,9,0.301,0.036,0.038,0,165,33,0.005,1,-10921639,23.639,0,0,255,44370,73.973,0.002,0.996,0.319
ID343,343,9,0.302,0.038,0.039,0,170,34,0.005,1,-10921639,23.91,0,0,255,44880,74.353,0.002,0.984,0.319
