Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID14,14,7,0.624,0.019,0.028,0,0,0,0.005,1,-10921639,49.587,0,0,255,85935,100.954,0.004,1,0.491
ID24,24,7,0.616,0.019,0.027,0,5,1,0.005,1,-10921639,48.999,0,0,255,84915,100.497,0.004,1,0.488
ID45,45,7,0.443,0.021,0.028,0,10,2,0.005,1,-10921639,34.579,0,0,255,59925,87.329,0.003,1,0.396
ID34,34,7,0.420,0.022,0.029,0,15,3,0.005,1,-10921639,32.960,0,0,255,57120,85.573,0.003,1,0.385
ID56,56,7,0.411,0.022,0.029,0,20,4,0.005,1,-10921639,31.783,0,0,255,55080,84.253,0.003,1,0.377
ID75,75,7,0.409,0.023,0.029,0,25,5,0.005,1,-10921639,31.636,0,0,255,54825,84.086,0.003,1,0.376
ID66,66,7,0.391,0.024,0.030,0,30,6,0.005,1,-10921639,30.017,0,0,255,52020,82.203,0.003,1,0.365
ID85,85,7,0.395,0.025,0.030,0,35,7,0.005,1,-10921639,30.164,0,0,255,52275,82.377,0.003,1,0.366
ID95,95,7,0.394,0.026,0.031,0,40,8,0.005,1,-10921639,30.017,0,0,255,52020,82.203,0.003,1,0.365
ID106,106,7,0.394,0.026,0.031,0,45,9,0.005,1,-10921639,30.017,0,0,255,52020,82.203,0.003,1,0.365
ID126,126,7,0.392,0.027,0.031,0,50,10,0.005,1,-10921639,29.723,0,0,255,51510,81.852,0.002,1,0.363
ID116,116,7,0.395,0.028,0.032,0,55,11,0.005,1,-10921639,30.312,0,0,255,52530,82.551,0.002,1,0.367
ID136,136,7,0.392,0.029,0.032,0,60,12,0.005,1,-10921639,30.164,0,0,255,52275,82.377,0.002,1,0.366
ID146,146,7,0.387,0.030,0.032,0,65,13,0.005,1,-10921639,29.870,0,0,255,51765,82.028,0.002,1,0.364
ID156,156,7,0.376,0.031,0.033,0,70,14,0.005,1,-10921639,28.693,0,0,255,49725,80.605,0.002,1,0.356
ID166,166,7,0.370,0.032,0.033,0,75,15,0.005,1,-10921639,27.957,0,0,255,48450,79.694,0.002,1,0.351
ID186,186,7,0.370,0.033,0.034,0,80,16,0.005,1,-10921639,27.957,0,0,255,48450,79.694,0.002,1,0.351
ID175,175,7,0.367,0.034,0.034,0,85,17,0.005,1,-10921639,27.810,0,0,255,48195,79.510,0.002,1,0.350
ID197,197,7,0.372,0.035,0.035,0,90,18,0.005,1,-10921639,28.104,0,0,255,48705,79.878,0.002,1,0.352
ID207,207,7,0.362,0.036,0.035,0,95,19,0.005,1,-10921639,27.369,0,0,255,47430,78.953,0.002,1,0.347
ID217,217,7,0.363,0.038,0.035,0,100,20,0.005,1,-10921639,27.369,0,0,255,47430,78.953,0.002,1,0.347
ID228,228,7,0.361,0.039,0.036,0,105,21,0.005,1,-10921639,27.074,0,0,255,46920,78.578,0.002,1,0.345
ID239,239,7,0.348,0.040,0.036,0,110,22,0.005,1,-10921639,26.044,0,0,255,45135,77.243,0.002,1,0.337
ID249,249,7,0.361,0.042,0.037,0,115,23,0.005,1,-10921639,27.074,0,0,255,46920,78.578,0.002,1,0.345
ID259,259,7,0.353,0.043,0.037,0,120,24,0.005,1,-10921639,26.633,0,0,255,46155,78.010,0.002,1,0.341
ID269,269,7,0.355,0.045,0.037,0,125,25,0.005,1,-10921639,26.633,0,0,255,46155,78.010,0.002,1,0.341
ID289,289,7,0.350,0.046,0.038,0,130,26,0.005,1,-10921639,26.339,0,0,255,45645,77.628,0.002,1,0.339
ID279,279,7,0.346,0.048,0.038,0,135,27,0.005,1,-10921639,25.897,0,0,255,44880,77.049,0.002,1,0.336
ID309,309,7,0.340,0.050,0.039,0,140,28,0.005,1,-10921639,25.162,0,0,255,43605,76.069,0.002,1,0.331
ID299,299,7,0.344,0.051,0.039,0,145,29,0.005,1,-10921639,25.603,0,0,255,44370,76.659,0.002,1,0.334
ID319,319,7,0.346,0.053,0.040,0,150,30,0.005,1,-10921639,25.897,0,0,255,44880,77.049,0.002,1,0.336
ID329,329,7,0.325,0.055,0.040,0,155,31,0.005,1,-10921639,24.132,0,0,255,41820,74.662,0.002,1,0.323
ID348,348,7,0.319,0.058,0.041,0,160,32,0.005,1,-10921639,23.690,0,0,255,41055,74.047,0.002,1,0.320
ID339,339,7,0.325,0.060,0.041,0,165,33,0.005,1,-10921639,23.837,0,0,255,41310,74.253,0.002,1,0.321
ID368,368,7,0.317,0.062,0.041,0,170,34,0.005,1,-10921639,23.396,0,0,255,40545,73.632,0.002,1,0.318
ID358,358,7,0.318,0.065,0.042,0,175,35,0.005,1,-10921639,23.396,0,0,255,40545,73.632,0.002,1,0.318
ID388,388,7,0.311,0.067,0.042,0,180,36,0.005,1,-10921639,22.807,0,0,255,39525,72.792,0.002,1,0.313
ID378,378,7,0.309,0.070,0.043,0,185,37,0.005,1,-10921639,22.660,0,0,255,39270,72.580,0.002,1,0.312
ID398,398,7,0.301,0.073,0.043,0,190,38,0.005,1,-10921639,22.072,0,0,255,38250,71.722,0.002,1,0.308
ID408,408,7,0.456,0.071,0.042,0,195,39,0.005,1,-10921639,35.609,0,0,255,61710,88.412,0.003,1,0.403
