,A,B,C,D,E,F,G,H,I,J,K
1,3,4,4,6,7,9,11,15,19,21,41
2,4,5,6,8,9,11,15,21,27,36,61
3,5,6,7,9,11,14,19,25,32,46,61
4,5,6,8,10,13,16,22,27,36,47,59
5,6,7,8,10,14,18,23,31,38,48,57
6,6,7,9,12,15,19,25,31,39,48,55
7,6,7,9,12,15,19,25,32,39,47,55
8,6,7,9,12,15,20,24,31,39,47,55
9,6,7,9,11,14,18,24,31,39,48,57
10,5,7,8,11,13,17,23,30,39,49,60
11,5,6,7,9,11,15,20,27,36,50,63
12,4,5,6,8,9,13,17,23,33,47,65
13,4,4,5,5,7,9,13,18,26,38,60
14,3,4,3,3,4,5,8,12,19,23,29
