Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID361,361,67,0.343,0.023,0.023,0,5,1,0.005,1,-10921639,32.198,0,0,255,60435,84.72,0.018,0.57,0.276
ID186,186,67,0.354,0.023,0.024,0,10,2,0.005,1,-10921639,33.692,0,0,255,63240,86.373,0.019,0.598,0.292
ID280,280,67,0.353,0.024,0.024,0,15,3,0.005,1,-10921639,33.692,0,0,255,63240,86.373,0.018,0.593,0.29
ID535,535,67,0.351,0.025,0.024,0,20,4,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.019,0.64,0.3
ID451,451,67,0.368,0.026,0.025,0,25,5,0.005,1,-10921639,33.42,0,0,255,62730,86.077,0.002,0.711,0.323
ID706,706,67,0.369,0.027,0.025,0,30,6,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.002,0.831,0.348
ID618,618,67,0.375,0.028,0.026,0,35,7,0.005,1,-10921639,32.469,0,0,255,60945,85.025,0.002,0.91,0.364
ID870,870,67,0.382,0.029,0.026,0,40,8,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.002,0.974,0.379
ID958,958,67,0.387,0.03,0.027,0,45,9,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.004,0.997,0.383
ID786,786,67,0.383,0.031,0.027,0,50,10,0.005,1,-10921639,32.198,0,0,255,60435,84.72,0.002,1,0.38
ID1038,1038,67,0.388,0.032,0.027,0,55,11,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.004,1,0.384
ID1213,1213,67,0.385,0.033,0.028,0,60,12,0.005,1,-10921639,32.198,0,0,255,60435,84.72,0.002,1,0.38
ID1132,1132,67,0.388,0.034,0.028,0,65,13,0.005,1,-10921639,32.469,0,0,255,60945,85.025,0.004,1,0.382
ID1293,1293,67,0.378,0.035,0.029,0,70,14,0.005,1,-10921639,31.654,0,0,255,59415,84.105,0.002,1,0.376
ID1381,1381,67,0.389,0.037,0.029,0,75,15,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.004,1,0.384
ID1478,1478,67,0.388,0.038,0.03,0,80,16,0.005,1,-10921639,32.334,0,0,255,60690,84.873,0.004,1,0.381
ID1563,1563,67,0.381,0.039,0.03,0,85,17,0.005,1,-10921639,31.79,0,0,255,59670,84.259,0.004,1,0.377
ID1645,1645,67,0.38,0.041,0.031,0,90,18,0.005,1,-10921639,31.654,0,0,255,59415,84.105,0.004,1,0.376
ID1811,1811,67,0.386,0.043,0.031,0,95,19,0.005,1,-10921639,32.198,0,0,255,60435,84.72,0.002,1,0.38
ID1730,1730,67,0.381,0.044,0.032,0,100,20,0.005,1,-10921639,31.654,0,0,255,59415,84.105,0.004,1,0.376
ID1898,1898,67,0.373,0.046,0.032,0,105,21,0.005,1,-10921639,30.975,0,0,255,58140,83.324,0.004,0.994,0.371
ID2144,2144,67,0.377,0.048,0.033,0,110,22,0.005,1,-10921639,31.247,0,0,255,58650,83.638,0.004,0.994,0.372
ID1984,1984,67,0.373,0.05,0.033,0,115,23,0.005,1,-10921639,30.839,0,0,255,57885,83.166,0.002,1,0.371
ID2063,2063,67,0.374,0.052,0.034,0,120,24,0.005,1,-10921639,30.975,0,0,255,58140,83.324,0.004,1,0.372
ID2231,2231,67,0.378,0.054,0.034,0,125,25,0.005,1,-10921639,30.975,0,0,255,58140,83.324,0.002,1,0.372
ID2565,2565,67,0.373,0.057,0.035,0,130,26,0.005,1,-10921639,30.839,0,0,255,57885,83.166,0.004,1,0.371
ID2395,2395,67,0.373,0.059,0.036,0,135,27,0.005,1,-10921639,30.703,0,0,255,57630,83.008,0.004,1,0.37
ID2308,2308,67,0.369,0.062,0.036,0,140,28,0.005,1,-10921639,30.432,0,0,255,57120,82.69,0.004,1,0.368
ID2429,2429,67,0.36,0.065,0.036,0,145,29,0.005,1,-10921639,29.616,0,0,255,55590,81.723,0.004,1,0.362
ID2735,2735,67,0.365,0.068,0.037,0,150,30,0.005,1,-10921639,30.296,0,0,255,56865,82.53,0.004,1,0.367
ID2828,2828,67,0.358,0.071,0.037,0,155,31,0.005,1,-10921639,29.616,0,0,255,55590,81.723,0.004,1,0.362
ID2654,2654,67,0.367,0.074,0.038,0,160,32,0.005,1,-10921639,30.432,0,0,255,57120,82.69,0.005,1,0.368
ID2912,2912,67,0.354,0.077,0.038,0,165,33,0.005,1,-10921639,31.383,0,0,255,58905,83.794,0.004,0.918,0.359
ID2999,2999,67,0.359,0.078,0.038,0,170,34,0.005,1,-10921639,32.741,0,0,255,61455,85.328,0.004,0.658,0.304
