,A,B,C,D,E,F,G,H,I,J,K
1,19,13,11,10,10,10,10,11,14,15,20
2,36,22,18,15,13,13,13,15,17,22,34
3,37,27,21,18,16,16,16,18,21,26,36
4,35,28,25,21,19,18,18,20,23,28,34
5,33,29,26,22,20,20,20,22,25,29,33
6,32,29,26,23,21,21,21,22,25,28,32
7,32,29,26,23,22,21,21,23,26,28,32
8,32,28,26,23,22,21,21,23,25,28,31
9,32,29,26,23,21,20,20,22,25,28,32
10,32,28,24,21,19,19,19,21,24,28,33
11,34,27,22,19,17,17,17,19,23,28,34
12,35,27,20,17,15,14,14,16,20,25,34
13,35,20,17,14,11,10,10,12,15,22,27
14,20,14,12,10,8,5,5,8,10,11,10
