,A,B,C,D,E,F,G,H,I,J,K
1,4,5,5,8,9,11,13,16,19,26,39
2,5,6,7,9,11,14,17,22,29,40,71
3,6,7,8,10,12,17,20,25,36,45,65
4,6,7,9,11,14,18,23,28,38,47,60
5,7,8,9,12,16,20,25,31,40,45,58
6,7,8,10,13,16,21,26,33,39,48,57
7,7,8,10,13,17,21,26,33,41,47,57
8,7,8,10,13,16,20,26,33,41,48,57
9,7,8,10,12,15,20,25,33,40,48,58
10,6,7,9,11,15,19,23,31,40,50,59
11,6,7,8,11,13,17,21,29,39,49,63
12,5,6,7,9,10,14,20,25,33,45,67
13,5,5,6,6,7,10,15,21,26,36,59
14,4,5,5,4,5,6,8,17,20,24,33
