,A,B,C,D,E,F,G,H,I,J,K
1,3,3,4,6,7,8,12,16,17,21,36
2,4,5,6,8,10,11,16,22,26,36,57
3,4,5,7,9,12,14,19,25,30,42,60
4,5,6,8,10,13,17,22,26,35,46,59
5,5,7,9,11,14,19,23,28,36,46,58
6,6,7,9,12,15,19,25,31,37,47,56
7,6,7,9,12,15,20,25,31,38,47,55
8,6,7,9,12,15,20,25,31,39,47,55
9,6,7,9,11,15,19,24,31,38,47,58
10,5,7,8,11,14,17,22,29,37,49,60
11,5,6,7,9,12,16,20,27,35,48,65
12,4,5,6,8,9,13,18,23,31,42,62
13,4,5,5,6,7,10,13,18,25,33,58
14,4,4,4,4,5,5,7,16,17,18,29
