Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID9708,9708,43,0.484,0.065,0.02,0,5,1,0.005,1,-10921639,39.689,0,0,255,71400,92.467,0.003,0.993,0.428
ID9395,9395,43,0.423,0.064,0.021,0,10,2,0.005,1,-10921639,34.586,0,0,255,62220,87.335,0.003,0.992,0.394
ID9555,9555,43,0.43,0.063,0.022,0,15,3,0.005,1,-10921639,35.295,0,0,255,63495,88.084,0.003,0.987,0.398
ID10027,10027,43,0.43,0.062,0.022,0,20,4,0.005,1,-10921639,35.436,0,0,255,63750,88.232,0.004,1,0.402
ID10196,10196,43,0.437,0.061,0.023,0,25,5,0.005,1,-10921639,35.72,0,0,255,64260,88.527,0.003,1,0.403
ID10366,10366,43,0.422,0.06,0.023,0,30,6,0.005,1,-10921639,34.302,0,0,255,61710,87.033,0.003,0.997,0.394
ID10509,10509,43,0.429,0.059,0.023,0,35,7,0.005,1,-10921639,35.011,0,0,255,62985,87.786,0.003,0.997,0.398
ID10665,10665,43,0.43,0.058,0.024,0,40,8,0.005,1,-10921639,35.153,0,0,255,63240,87.935,0.003,1,0.4
ID10823,10823,43,0.434,0.057,0.024,0,45,9,0.005,1,-10921639,35.153,0,0,255,63240,87.935,0.003,1,0.4
ID10980,10980,43,0.433,0.056,0.025,0,50,10,0.005,1,-10921639,35.295,0,0,255,63495,88.084,0.003,1,0.401
ID11137,11137,43,0.431,0.055,0.025,0,55,11,0.005,1,-10921639,35.153,0,0,255,63240,87.935,0.003,1,0.4
ID11280,11280,43,0.43,0.054,0.026,0,60,12,0.005,1,-10921639,35.011,0,0,255,62985,87.786,0.003,1,0.399
ID11439,11439,43,0.425,0.052,0.026,0,65,13,0.005,1,-10921639,34.302,0,0,255,61710,87.033,0.003,1,0.394
ID11588,11588,43,0.427,0.051,0.026,0,70,14,0.005,1,-10921639,34.586,0,0,255,62220,87.335,0.003,1,0.396
ID11749,11749,43,0.446,0.05,0.027,0,75,15,0.005,1,-10921639,36.57,0,0,255,65790,89.401,0.003,1,0.409
ID11909,11909,43,0.442,0.048,0.027,0,80,16,0.005,1,-10921639,36.145,0,0,255,65025,88.966,0.003,1,0.406
ID12221,12221,43,0.459,0.047,0.028,0,85,17,0.005,1,-10921639,37.563,0,0,255,67575,90.399,0.003,1,0.416
ID12074,12074,43,0.47,0.045,0.028,0,90,18,0.005,1,-10921639,38.696,0,0,255,69615,91.514,0.003,1,0.423
ID12389,12389,43,0.455,0.044,0.029,0,95,19,0.005,1,-10921639,37.421,0,0,255,67320,90.258,0.004,1,0.415
ID12555,12555,43,0.459,0.042,0.029,0,100,20,0.005,1,-10921639,37.279,0,0,255,67065,90.116,0.003,1,0.414
ID12693,12693,43,0.467,0.04,0.03,0,105,21,0.005,1,-10921639,37.846,0,0,255,68085,90.681,0.003,1,0.417
ID12838,12838,43,0.473,0.038,0.03,0,110,22,0.005,1,-10921639,38.696,0,0,255,69615,91.514,0.003,1,0.423
ID12976,12976,43,0.471,0.036,0.031,0,115,23,0.005,1,-10921639,38.413,0,0,255,69105,91.238,0.003,1,0.421
ID13123,13123,43,0.452,0.034,0.032,0,120,24,0.005,1,-10921639,36.712,0,0,255,66045,89.545,0.003,1,0.41
ID13265,13265,43,0.467,0.032,0.032,0,125,25,0.005,1,-10921639,38.696,0,0,255,69615,91.514,0.003,1,0.423
ID13382,13382,43,0.442,0.029,0.032,0,130,26,0.005,1,-10921639,36.145,0,0,255,65025,88.966,0.003,1,0.406
ID13535,13535,43,0.442,0.026,0.033,0,135,27,0.005,1,-10921639,35.862,0,0,255,64515,88.674,0.004,1,0.404
ID13691,13691,43,0.434,0.024,0.034,0,140,28,0.005,1,-10921639,35.578,0,0,255,64005,88.38,0.004,1,0.403
ID14012,14012,43,0.438,0.021,0.034,0,145,29,0.005,1,-10921639,35.72,0,0,255,64260,88.527,0.004,0.997,0.403
ID13802,13802,43,0.432,0.018,0.034,0,150,30,0.005,1,-10921639,34.728,0,0,255,62475,87.486,0.004,1,0.397
ID14137,14137,43,0.438,0.015,0.035,0,155,31,0.005,1,-10921639,35.011,0,0,255,62985,87.786,0.003,0.995,0.398
ID14321,14321,43,0.421,0.012,0.035,0,160,32,0.005,1,-10921639,33.877,0,0,255,60945,86.575,0.004,1,0.391
ID14228,14228,43,0.379,0.009,0.035,0,165,33,0.005,1,-10921639,33.877,0,0,255,60945,86.575,0.004,0.606,0.295
ID14416,14416,43,0.355,0.007,0.036,0,170,34,0.005,1,-10921639,35.578,0,0,255,64005,88.38,0.016,0.41,0.234
