,A,B,C,D,E,F,G,H,I,J,K
1,-17,-10,-6,-3,-2,1,2,4,6,10,15
2,-30,-18,-10,-5,-3,2,3,6,11,17,25
3,-31,-22,-13,-8,-3,1,4,7,13,19,28
4,-29,-21,-15,-10,-4,0,4,8,13,20,26
5,-27,-21,-16,-10,-5,0,4,9,14,20,25
6,-25,-21,-15,-10,-5,0,4,9,14,19,24
7,-25,-21,-16,-10,-5,0,4,9,14,19,24
8,-24,-21,-15,-10,-5,-1,4,9,14,19,24
9,-25,-21,-14,-10,-5,-1,4,9,14,20,25
10,-25,-21,-14,-10,-5,-1,4,8,14,20,26
11,-27,-21,-13,-9,-4,0,3,8,14,19,29
12,-27,-18,-10,-8,-5,0,3,7,12,18,29
13,-27,-13,-8,-6,-3,-1,2,6,10,14,25
14,-11,-7,-7,-3,-2,-1,1,4,6,7,12
